requirement_id,source,rationale,implementation,validation_evidence,verification_evidence,test_ids,status
SRQ079,Rastreabilidade e assurance,Tornar evidência interpretável,reports/tcn/model_card.json; reports/tcn_report.md,Model card e relatório oficiais com provenance e hashes,Matriz e referências verificadas,test_assurance_traceability.TraceabilityTests.test_requirements_matrix_and_test_references_are_consistent,verified
SRQ080,prediction_contract.md; etapa Transformer,Impedir acesso interno a posições futuras,models/temporal/transformer.py:causal_attention_mask; encode,reports/transformer_report.md: causalidade,Prefixo e máscara triangular verificados,test_transformer.TransformerTests.test_causal_mask_blocks_future_observations,verified
SRQ081,SRQ070; arquitetura Transformer,Preservar ordem e origem temporal,models/temporal/transformer.py:SinusoidalPositionalEncoding; encode,reports/transformer/model_card.json: input contract,Posição padding comprimento e origem testados,test_transformer.TransformerTests.test_positional_encoding_is_deterministic_and_position_dependent; test_transformer.TransformerTests.test_padding_mask_and_sequence_length_are_enforced; test_transformer.TransformerTests.test_sequence_builder_is_unit_scoped_causal_and_origin_aligned,verified
SRQ082,Protocolo comparativo Transformer,Tornar métricas comparáveis,application/transformer_fd001.py:run_transformer,reports/transformer/metrics.json: provenance,Mesmo manifesto alvo e 3045 origens,test_transformer_pipeline.TransformerPipelineTests.test_loader_reads_only_train_and_validation_parquets; test_transformer_pipeline.TransformerPipelineTests.test_rul_is_only_in_target_path,verified
SRQ083,SRQ073; protocolo TCN,Evitar seleção por validation,application/transformer_fd001.py:grouped early stopping,reports/transformer/model_card.json: partition units,Disjunção agrupada e modelo limpo registrados,test_transformer_pipeline.TransformerPipelineTests.test_early_stopping_is_grouped_disjoint_and_reproducible; test_transformer.TransformerTests.test_forbidden_features_and_early_stopping_overlap_are_rejected,verified
SRQ084,prediction_contract.md; SRQ072,Preservar probabilidades de eventos aninhados,models/temporal/transformer.py:SmallCausalTransformer.forward,reports/transformer/metrics.json: coherence,Cabeça limites e zero violações testados,test_transformer.TransformerTests.test_joint_head_is_bounded_and_monotone_without_repair; test_transformer.TransformerTests.test_training_reproducibility_save_load_invalid_input_and_memory,verified
SRQ085,SRQ074; configuration management,Rejeitar checkpoint incompatível,models/temporal/transformer.py:save; load,reports/transformer/model_card.json: artifact hash,Round trip e schema incompatível testados,test_transformer.TransformerTests.test_training_reproducibility_save_load_invalid_input_and_memory,verified
SRQ086,Objetivo de custo Transformer,Comparar desempenho e recurso,application/transformer_fd001.py:memory and timing,reports/transformer_report.md: custo,Parâmetros checkpoint timings e estimativa analítica registrados,test_transformer.TransformerTests.test_training_reproducibility_save_load_invalid_input_and_memory,verified
SRQ087,SRQ078; contrato Transformer,Não ocultar entrada ou saída inválida,models/temporal/transformer.py; models/temporal/tcn.py:predict_risk,reports/transformer_report.md: modos de falha,Shapes máscara feature e status testados,test_transformer.TransformerTests.test_padding_mask_and_sequence_length_are_enforced; test_transformer.TransformerTests.test_training_reproducibility_save_load_invalid_input_and_memory,verified
SRQ088,common_dependency_analysis.md; SRQ077,Evitar falsa independência e stacking com leakage,configs/transformer.toml; docs/common_dependency_analysis.md,reports/transformer/model_card.json: shared dependencies,OOF false e ausência na fusão inspecionadas,test_transformer_pipeline.TransformerPipelineTests.test_early_stopping_is_grouped_disjoint_and_reproducible,verified
SRQ089,Rastreabilidade do demonstrador,Tornar evidência e trade-offs auditáveis,reports/transformer/model_card.json; reports/transformer_report.md,Model card relatório métricas e provenance,Matriz e referências verificadas,test_assurance_traceability.TraceabilityTests.test_requirements_matrix_and_test_references_are_consistent,verified
SRQ053,Etapa de filtragem; SRQ009,Rastrear cada pacote e sua origem,filtering/records.py:TelemetryPacket,reports/telemetry_filter_engine.md: contrato de pacote,Conteúdo e contagens verificados,test_telemetry_filtering.SequentialFilterTests.test_full_policy_transmits_every_value_every_cycle; test_telemetry_filtering.ReceiverAndFixedIntervalTests.test_byte_accounting_uses_configured_types_and_metadata,verified
SRQ054,Etapa de filtragem; HAZ005,Não confundir valor mantido com observação nova,filtering/policies.py:TelemetryReceiver; filtering/records.py:SensorReceptionState,reports/telemetry_change_impact.md,HLV ciclo idade flag e validade verificados,test_telemetry_filtering.ReceiverAndFixedIntervalTests.test_fixed_interval_k_hold_last_value_age_and_staleness,verified
SRQ055,SRQ017; SRQ043; etapa de filtragem,Propagar ausência e idade acima do limite,filtering/policies.py:TelemetryReceiver; configs/telemetry_filtering.toml,reports/telemetry_change_impact.md,Limite e telemetry_stale verificados; adequação por fonte futura,test_telemetry_filtering.ReceiverAndFixedIntervalTests.test_fixed_interval_k_hold_last_value_age_and_staleness,verified
SRQ056,Etapa de filtragem,Explicitar quando inferência deve ocorrer,filtering/policies.py:TelemetryReceiver; configs/telemetry_filtering.toml,reports/telemetry_filter_engine.md,Duas cadências verificadas,test_telemetry_filtering.ReceiverAndFixedIntervalTests.test_on_transmission_inference_cadence,verified
SRQ057,Etapa de filtragem,Medir redução local com hipótese de bytes explícita,filtering/records.py:TelemetryFilterMetrics; filtering/policies.py:_SequentialTelemetryFilter,reports/telemetry_filter_engine.md; configs/telemetry_filtering.toml,Exemplo conhecido de bytes verificado,test_telemetry_filtering.ReceiverAndFixedIntervalTests.test_byte_accounting_uses_configured_types_and_metadata,verified
SRQ058,Etapa de filtragem; SRQ002; SRQ028,Evitar cadência errada e seleção em holdout,filtering/policies.py:FixedIntervalFilter; SensorSubsetFilter,reports/eda_report.md; reports/telemetry_filter_engine.md,K subset e origem train verificados,test_telemetry_filtering.ReceiverAndFixedIntervalTests.test_fixed_interval_k_hold_last_value_age_and_staleness; test_telemetry_filtering.SubsetAndAdaptiveTests.test_subset_transmits_only_train_selected_sensors,verified
SRQ059,Etapa de filtragem; SRQ001; SRQ008; SRQ018,Adaptar frequência sem usar desfechos retrospectivos,filtering/policies.py:AdaptiveTelemetryFilter; core/causality.py,reports/telemetry_filter_engine.md; reports/telemetry_change_impact.md,Prefixo nomes proibidos anomalia separada e ativação verificados,test_telemetry_filtering.SequentialFilterTests.test_forbidden_rul_and_target_fields_are_rejected; test_telemetry_filtering.SequentialFilterTests.test_prefix_results_do_not_depend_on_future_suffix; test_telemetry_filtering.SubsetAndAdaptiveTests.test_adaptive_can_use_separate_anomaly_indicator,verified
SRQ060,SRQ009; SRQ010; etapa de filtragem,Reproduzir decisões adaptativas e motivos,filtering/policies.py:AdaptiveTelemetryFilter; configs/telemetry_filtering.toml,reports/telemetry_filter_engine.md,Decisões ativações motivos e duração repetidos,test_telemetry_filtering.SubsetAndAdaptiveTests.test_adaptive_activation_high_mode_duration_and_reproducibility,verified
SRQ039,Etapa de fusão; SRQ024,Evitar desempenho in-sample no meta-modelo,models/fusion/probabilistic.py:LogisticStackingFusion; application/fusion_fd001.py:_crossfit_meta,reports/fusion/oof_audit.json; reports/fusion_report.md,Recusa de partição não OOF e folds disjuntos,test_fusion.StackingCalibrationTests.test_meta_model_accepts_only_train_oof_predictions; test_fusion_pipeline.FusionPipelineTests.test_grouped_folds_have_no_unit_overlap,verified
SRQ040,Etapa de fusão; SRQ019; SRQ024,Excluir a duração da própria unidade do risco Weibull OOF,application/fusion_fd001.py:generate_weibull_oof,reports/fusion/oof_audit.json:weibull_refit_by_fold,Manifesto registra fitting/holdout sem interseção,test_fusion_pipeline.FusionPipelineTests.test_real_oof_artifacts_are_aligned_and_anomaly_is_separate,verified
SRQ041,Etapa de fusão; SRQ011,Evitar calibração otimista,application/fusion_fd001.py:_crossfit_calibrator; models/fusion/probabilistic.py:ProbabilityCalibrator,reports/fusion/metrics.json:calibration_selection,Cross-fitting agrupado e round-trip Platt/isotonic,test_fusion.StackingCalibrationTests.test_platt_and_isotonic_are_finite_and_round_trip; test_fusion_pipeline.FusionPipelineTests.test_grouped_folds_have_no_unit_overlap,verified
SRQ042,SRQ006; etapa de fusão,Impedir risco sobre entrada inválida,core/records.py:FusionPrediction; models/fusion/probabilistic.py:SimpleProbabilityEnsemble; LogisticStackingFusion,docs/predictive_function_fmea.md,Estados e ausência de probabilidade testados,test_fusion.FusionContractTests.test_degraded_and_unavailable_status_are_explicit; test_fusion.FusionContractTests.test_unavailable_fusion_cannot_silently_carry_zero_risk; test_fusion.StackingCalibrationTests.test_stacking_missing_component_or_stale_input_is_unavailable,verified
SRQ043,SRQ017; predictive_warning_fault_tree.md,Impedir que telemetria antiga pareça atual,core/records.py:FusionPrediction; filtering/policies.py:TelemetryReceiver,docs/common_dependency_analysis.md; reports/telemetry_change_impact.md,Staleness por idade lógica testado; timestamps/adaptador físico futuros,test_telemetry_filtering.ReceiverAndFixedIntervalTests.test_fixed_interval_k_hold_last_value_age_and_staleness,partial
SRQ044,Etapa de fusão; HAZ001,Identificar operação com evidência parcial,models/fusion/probabilistic.py:SimpleProbabilityEnsemble,docs/predictive_function_fmea.md,Fallback e component_status testados,test_fusion.FusionContractTests.test_degraded_and_unavailable_status_are_explicit,verified
SRQ045,SRQ007; árvore lógica,Não converter ausência em baixo risco,core/records.py:FusionPrediction; models/fusion/probabilistic.py,docs/predictive_warning_fault_tree.md,Indisponibilidade e zero implícito testados,test_fusion.FusionContractTests.test_degraded_and_unavailable_status_are_explicit; test_fusion.FusionContractTests.test_unavailable_fusion_cannot_silently_carry_zero_risk,verified
SRQ046,Etapa de fusão; SRQ009,Rastrear transformação probabilística,models/fusion/probabilistic.py:ProbabilityCalibrator; reports/fusion/model_card.json,reports/fusion/metrics.json; reports/fusion_report.md,Platt/isotonic comparados; artefatos e hashes no freeze,test_fusion.StackingCalibrationTests.test_platt_and_isotonic_are_finite_and_round_trip,verified
SRQ047,Etapa de fusão; SRQ012; ASM005,Controlar thresholds experimentais,configs/fusion_alert_policy.toml; application/fusion_fd001.py:select_alert_thresholds,reports/fusion/metrics.json:threshold_selection,Ordem e partição verificadas; adequação operacional aberta,test_fusion.AlertPolicyTests.test_thresholds_are_strictly_ordered,partial
SRQ048,Etapa de fusão; FMEA,Explicitar compromisso entre ruído e atraso,models/fusion/probabilistic.py:assign_alert_levels; alert_metrics_by_unit,reports/fusion/artifacts/validation_metrics_by_unit.parquet,Persistência e episódios testados,test_fusion.AlertPolicyTests.test_persistence_and_temporal_unit_metrics,verified
SRQ049,SRQ009; etapa de fusão,Rastrear modelos base e fusão,reports/fusion/freeze_manifest.json; reports/fusion/model_card.json; application/fusion_fd001.py,reports/fusion/oof_audit.json; reports/fusion_report.md,Hashes e reprodução exata em validation,test_fusion_pipeline.FusionPipelineTests.test_real_oof_artifacts_are_aligned_and_anomaly_is_separate,verified
SRQ050,prediction_contract.md; etapa de fusão,Preservar semântica de anomalia e disagreement,models/fusion/probabilistic.py; application/fusion_fd001.py:align_prediction_artifacts,docs/common_dependency_analysis.md; reports/fusion_report.md,Média sem anomalia e disagreement testados,test_fusion.FusionContractTests.test_anomaly_score_is_not_an_arithmetic_probability_component; test_fusion.FusionContractTests.test_simple_fusion_probability_health_and_disagreement,verified
SRQ051,Etapa de fusão; SRQ011,Preservar avaliação final congelada,models/fusion/probabilistic.py:FrozenEvaluationGate; application/fusion_fd001.py:evaluate_frozen_test,reports/fusion/freeze_manifest.json; reports/fusion/test_evaluation_receipt.json,Gate e recibo único verificados; holdout não usado para seleção,test_fusion.AlertPolicyTests.test_holdout_gate_requires_freeze_and_refuses_second_evaluation; test_fusion_pipeline.FusionPipelineTests.test_frozen_test_receipt_and_outputs_are_consistent,verified
SRQ035,prediction_contract.md anomaly_score; etapa Isolation Forest,Separar desvio de probabilidade,models/anomaly/isolation_forest.py; core/records.py,monitoring_architecture.md; anomaly_detection_report.md,Testes de orientação/escala e nomes proibidos,test_isolation_forest_anomaly.IsolationForestAnomalyTests.test_orientation_finiteness_and_reproducibility; test_isolation_forest_anomaly.IsolationForestAnomalyTests.test_prohibited_feature_names_and_anomaly_record_states,verified
SRQ036,Etapa Isolation Forest; SRQ011,Selecionar referência saudável sem ajustar validation,application/anomaly_detection_fd001.py; configs/anomaly_detection.toml,ASM019; monitoring_architecture.md,Pipeline somente train/validation e configuração persistida,test_anomaly_detection_pipeline.AnomalyPipelineTests.test_grouped_oof_train_only_healthy_region_and_artifacts,verified
SRQ037,SRQ024; etapa Isolation Forest,Preservar independência por unidade no OOF,application/anomaly_detection_fd001.py; reports/anomaly_detection/artifacts/fold_manifest.json,anomaly_detection_report.md,Disjunção e cobertura verificadas em fixture,test_anomaly_detection_pipeline.AnomalyPipelineTests.test_grouped_oof_train_only_healthy_region_and_artifacts,verified
SRQ038,SRQ005-SRQ010; monitoring_architecture.md,Conter estado inválido e rastrear artefato,models/anomaly/isolation_forest.py; reports/anomaly_detection/model_card.json,monitoring_architecture.md,Round-trip e status inválido verificados,test_isolation_forest_anomaly.IsolationForestAnomalyTests.test_save_load_and_invalid_input_status; test_isolation_forest_anomaly.IsolationForestAnomalyTests.test_prohibited_feature_names_and_anomaly_record_states,verified
SRQ001,prediction_contract.md: histórico causal,Evitar antecipação artificial do evento.,features/interfaces.py; core/causality.py,Revisão interna de coerência: docs/prediction_contract.md e docs/safety_requirements.md; adequação operacional pendente.,Testes listados; resultado em docs/progress.md (0.4.0). Escopo parcial quando indicado.,test_prediction_contract.CausalityGuardTests.test_retrospective_fields_rejected_at_feature_boundary,partial
SRQ002,prediction_contract.md: variáveis proibidas,Manter separação entre evidência disponível e verdade retrospectiva.,core/causality.py; core/records.py:FeatureRecord,Revisão interna de coerência: docs/prediction_contract.md e docs/safety_requirements.md; adequação operacional pendente.,Testes listados; resultado em docs/progress.md (0.4.0). Escopo parcial quando indicado.,test_prediction_contract.CausalityGuardTests.test_retrospective_fields_rejected_at_feature_boundary; test_prediction_contract.CausalityGuardTests.test_feature_mapping_cannot_be_mutated_after_guard,partial
SRQ003,prediction_contract.md: probabilidade e estados,Impedir valores impossíveis ou ausência disfarçada de risco zero.,core/records.py:RiskPrediction; models/reliability/weibull.py:predict_risk; application/local_service.py:_enforce_probability_contract,"Revisão do contrato, métricas de calibração e guarda no consumidor em reports/final_assurance_report.md",Testes de limites do registro e risco persistido inválido; auditoria 0.16.0.,test_prediction_contract.PredictionContractTests.test_probability_bounds_and_complementary_scores; test_prediction_contract.PredictionContractTests.test_unavailable_never_becomes_zero_risk; test_local_application.LocalApplicationServiceTests.test_invalid_persisted_risk_is_not_presented_as_valid; test_weibull.WeibullFunctionTests.test_predict_risk_obeys_common_contract_for_configurable_horizons,verified
SRQ004,prediction_contract.md: horizonte,Evitar comparar probabilidades referentes a eventos temporais diferentes.,models/interfaces.py:RiskModel.predict_risk; core/records.py:RiskPrediction; models/reliability/weibull.py,Revisão dos horizontes configuráveis e distinção entre H=0 matemático e contrato de previsão em reports/weibull_report.md.,"Testes de assinatura, metadados, horizontes configuráveis e monotonicidade; execução 0.5.0 em docs/progress.md.",test_prediction_contract.PredictionContractTests.test_horizon_status_validity_required_and_serialized; test_prediction_contract.PredictionContractTests.test_invalid_input_or_metadata_cannot_be_available; test_weibull.WeibullFunctionTests.test_conditional_risk_bounds_zero_horizon_and_monotonic_horizon; test_weibull.WeibullFunctionTests.test_predict_risk_obeys_common_contract_for_configurable_horizons,verified
SRQ005,prediction_contract.md: estrutura de saída,Permitir identificar qual implementação e estado produziram o resultado.,core/records.py:RiskPrediction; models/reliability/weibull.py; reports/weibull/model_card.json,Model card liga nome/versão ao artefato e hash; requisito permanece parcial para futuras famílias.,Round-trip e card/hash verificados; execução 0.5.0 em docs/progress.md.,test_prediction_contract.PredictionContractTests.test_invalid_input_or_metadata_cannot_be_available; test_weibull.WeibullFunctionTests.test_save_load_preserve_configuration_and_predictions; test_weibull_pipeline.WeibullPipelineTests.test_pipeline_reads_age_only_train_validation_and_writes_complete_card,partial
SRQ006,safety_reliability_scope.md: HAZ004,Evitar que consumidores interpretem como confiável uma entrada não verificada.,core/records.py; data/validation.py; models/reliability/weibull.py:_validate_age_input,Contrato Weibull age-only rejeita valores/sensores; atualidade de fontes futuras continua pendente.,"Testes de estados, FD001 e rejeição de entrada fora do contrato; execução 0.5.0 em docs/progress.md.",test_prediction_contract.PredictionContractTests.test_invalid_input_or_metadata_cannot_be_available; test_fd001_ingestion.FD001ValidationTests.test_non_numeric_and_missing_values_are_rejected; test_weibull.WeibullFunctionTests.test_model_rejects_inputs_outside_age_only_contract,partial
SRQ007,safety_reliability_scope.md: HAZ001,Não converter indisponibilidade em ausência de risco.,core/records.py:RiskPrediction,Revisão interna de coerência: docs/prediction_contract.md e docs/safety_requirements.md; adequação operacional pendente.,Testes listados; resultado em docs/progress.md (0.4.0). Escopo parcial quando indicado.,test_prediction_contract.PredictionContractTests.test_unavailable_never_becomes_zero_risk,verified
SRQ008,prediction_contract.md: escores auxiliares,Desvio estatístico não é probabilidade de evento futuro.,core/records.py; models/anomaly/interfaces.py; models/fusion/interfaces.py,Revisão interna de coerência: docs/prediction_contract.md e docs/safety_requirements.md; adequação operacional pendente.,Testes listados; resultado em docs/progress.md (0.4.0). Escopo parcial quando indicado.,test_prediction_contract.PredictionContractTests.test_anomaly_is_not_probability_and_disagreement_is_optional,partial
SRQ009,safety_reliability_scope.md: HAZ006,Detectar resultados produzidos com artefatos incompatíveis.,application/prepare_fd001.py; application/eda_fd001.py; application/weibull_fd001.py; reports/weibull/model_card.json; docs/traceability_matrix.csv,"Model card contém hashes de entradas e modelo, configuração e manifesto; cadeia futura completa permanece parcial.",Hash do artefato e caminhos restritos verificados; execução 0.5.0 em docs/progress.md.,test_fd001_ingestion.FD001SplitAndReportTests.test_preparation_writes_parquet_and_never_reads_official_test; test_weibull_pipeline.WeibullPipelineTests.test_pipeline_reads_age_only_train_validation_and_writes_complete_card,partial
SRQ010,"decisions.md: D001, D011, D012","Distinguir variação de código, dados e aleatoriedade.",configs/fd001.toml; configs/weibull.toml; data/splitting.py; application/eda_fd001.py; application/weibull_fd001.py,"Seeds, réplicas, versões, hashes e definições de métricas registradas; equivalência futura de ambientes permanece parcial.","Bootstrap determinístico, round-trip e divisão reproduzível testados; execução 0.5.0 em docs/progress.md.",test_fd001_ingestion.FD001SplitAndReportTests.test_split_is_reproducible_complete_and_disjoint_by_unit; test_weibull.WeibullEstimationAndMetricTests.test_parameter_bootstrap_resamples_unit_lifetimes_reproducibly; test_weibull.WeibullFunctionTests.test_save_load_preserve_configuration_and_predictions,partial
SRQ011,"decisions.md: D011, D013; solicitação desta etapa",Evitar ajuste às unidades de avaliação e estimativa otimista.,data/splitting.py; application/eda_fd001.py; application/weibull_fd001.py,Weibull ajustada no treino e avaliada em validation; teste interno/oficial preservados. Regra permanece parcial para modelos futuros.,Teste usa holdout ilegível e verifica somente train/validation e colunas unit_id/cycle; execução 0.5.0 em docs/progress.md.,test_fd001_ingestion.FD001SplitAndReportTests.test_split_is_reproducible_complete_and_disjoint_by_unit; test_fd001_eda.IsolationTests.test_only_two_development_parquets_are_read; test_fd001_eda.IsolationTests.test_eda_statistics_and_candidates_ignore_validation_values; test_weibull_pipeline.WeibullPipelineTests.test_pipeline_reads_age_only_train_validation_and_writes_complete_card,partial
SRQ012,"problem_definition.md: alertas; HAZ002, HAZ003, HAZ007",Conectar alerta à decisão simulada e controlar falsos alertas/omissões.,,Revisão interna de coerência: docs/prediction_contract.md e docs/safety_requirements.md; adequação operacional pendente.,,,planned
SRQ013,safety_reliability_scope.md: HAZ007,Evitar uso de evidência que a mudança tornou inválida.,docs/change_impact_template.md; CHANGELOG.md,Revisão interna de coerência: docs/prediction_contract.md e docs/safety_requirements.md; adequação operacional pendente.,Testes listados; resultado em docs/progress.md (0.4.0). Escopo parcial quando indicado.,test_assurance_traceability.TraceabilityTests.test_requirements_matrix_and_test_references_are_consistent,partial
SRQ014,prediction_contract.md: RUL,Manter referência retrospectiva correta e sem mistura de motores.,data/targets.py:build_evaluation_targets,Revisão interna de coerência: docs/prediction_contract.md e docs/safety_requirements.md; adequação operacional pendente.,Testes listados; resultado em docs/progress.md (0.4.0). Escopo parcial quando indicado.,test_prediction_contract.OperationalTargetTests.test_nonnegative_decreasing_rul_terminal_zero_and_no_unit_mixing,verified
SRQ015,prediction_contract.md: população e censura,Distinguir previsão de evento futuro e descrição de evento já ocorrido.,"data/targets.py:build_evaluation_targets, build_operational_targets; evaluation/interfaces.py; application/weibull_fd001.py",Validation Weibull usa exclusivamente 3.045 linhas RUL>0; censura futura permanece uma hipótese aberta.,"Fronteiras, seleção operacional e artefatos da pipeline verificados; execução 0.5.0 em docs/progress.md.",test_fd001_eda.TargetTests.test_exact_horizon_boundaries_terminal_and_no_clipping; test_prediction_contract.OperationalTargetTests.test_operational_population_excludes_terminal_and_keeps_horizons; test_weibull_pipeline.WeibullPipelineTests.test_pipeline_reads_age_only_train_validation_and_writes_complete_card,partial
SRQ016,prediction_contract.md: escores complementares,Evitar interpretação independente de saúde ou percentual de vida restante.,core/records.py:RiskPrediction,Revisão interna de coerência: docs/prediction_contract.md e docs/safety_requirements.md; adequação operacional pendente.,Testes listados; resultado em docs/progress.md (0.4.0). Escopo parcial quando indicado.,test_prediction_contract.PredictionContractTests.test_probability_bounds_and_complementary_scores; test_prediction_contract.PredictionContractTests.test_unavailable_never_becomes_zero_risk,verified
SRQ017,safety_reliability_scope.md: HAZ005,Ciclo ordenado sozinho não demonstra atualidade da informação.,core/records.py:RiskPrediction; filtering/policies.py:TelemetryReceiver; docs/prediction_contract.md,reports/telemetry_change_impact.md,Estados de risco e staleness lógico testados; atualidade física futura,test_prediction_contract.PredictionContractTests.test_invalid_input_or_metadata_cannot_be_available; test_telemetry_filtering.ReceiverAndFixedIntervalTests.test_fixed_interval_k_hold_last_value_age_and_staleness,partial
SRQ018,safety_reliability_scope.md: HAZ008,Filtro causal também pode atrasar sinais úteis.,filtering/interfaces.py; filtering/policies.py; reports/telemetry_change_impact.md,reports/telemetry_filter_engine.md,Causalidade/prefixo verificados; impacto preditivo e latência em validation pendentes,test_telemetry_filtering.SequentialFilterTests.test_prefix_results_do_not_depend_on_future_suffix,partial
SRQ019,escopo da etapa Weibull 2P,Estabelecer referência populacional por idade sem tratar ciclos como vidas independentes ou introduzir localização.,models/reliability/weibull.py; application/weibull_fd001.py; reports/weibull/model_card.json,reports/weibull_report.md: escopo e aderência; docs/safety_assumptions.md: ASM007-ASM011.,Modelo/manifesto e entrada age-only verificados; execução real registrada em reports/weibull/analysis.json.,test_weibull.WeibullFunctionTests.test_common_fit_uses_one_lifetime_target_per_unit_and_no_features; test_weibull.WeibullFunctionTests.test_model_rejects_inputs_outside_age_only_contract; test_weibull_pipeline.WeibullPipelineTests.test_pipeline_reads_age_only_train_validation_and_writes_complete_card,verified
SRQ020,escopo da etapa Weibull 2P e prediction_contract.md,Tornar a semântica estatística explícita e verificável independentemente da aplicação.,"models/reliability/weibull.py:density,cumulative_distribution,survival,hazard,cumulative_hazard,conditional_risk","reports/weibull_report.md: funções, contrato, sensibilidade e aderência.","Limites, complementos, H=0 e monotonicidade verificados.",test_weibull.WeibullFunctionTests.test_distribution_survival_and_hazards_respect_bounds; test_weibull.WeibullFunctionTests.test_conditional_risk_bounds_zero_horizon_and_monotonic_horizon; test_weibull.WeibullFunctionTests.test_predict_risk_obeys_common_contract_for_configurable_horizons,verified
SRQ021,"SRQ005, SRQ009, SRQ010 e escopo da etapa","Permitir reprodução, inspeção e detecção de troca do artefato.","models/reliability/weibull.py:save,load,artifact_hash; reports/weibull/model_card.json","Model card 1.0.0 e relatório Weibull registram parâmetros, configuração, contratos, métricas e limitações.","Round-trip, configuração e correspondência do hash verificados.",test_weibull.WeibullFunctionTests.test_save_load_preserve_configuration_and_predictions; test_weibull_pipeline.WeibullPipelineTests.test_pipeline_reads_age_only_train_validation_and_writes_complete_card,verified
SRQ022,"SRQ011, SRQ015 e escopo da etapa","Preservar holdouts, condicionamento T_i>t e dependência intraunidade visível.",application/weibull_fd001.py; evaluation/probability.py; reports/weibull/metrics.json; reports/weibull/artifacts/validation_metrics_by_unit.parquet,reports/weibull_report.md: validation operacional e métricas por unidade.,"Caminhos e colunas lidos, horizontes, população e artefatos verificados em fixture; execução real contém 15 unidades e 3.045 linhas por horizonte.",test_weibull_pipeline.WeibullPipelineTests.test_pipeline_reads_age_only_train_validation_and_writes_complete_card; test_weibull.WeibullEstimationAndMetricTests.test_probability_metrics_known_perfect_ranking,verified
